Step: 16384     Mean reward: 4.859375   Mean validation reward: 4.71875
Step: 32768     Mean reward: 5.78125    Mean validation reward: 5.828125
Step: 49152     Mean reward: 5.78125    Mean validation reward: 6.46875
Step: 65536     Mean reward: 6.53125    Mean validation reward: 6.515625
Step: 81920     Mean reward: 6.96875    Mean validation reward: 6.953125
Step: 98304     Mean reward: 7.046875   Mean validation reward: 7.296875
Step: 114688    Mean reward: 7.640625   Mean validation reward: 7.578125
Step: 131072    Mean reward: 7.8125     Mean validation reward: 7.09375
Step: 147456    Mean reward: 7.671875   Mean validation reward: 6.90625
Step: 163840    Mean reward: 6.953125   Mean validation reward: 6.953125
Step: 180224    Mean reward: 7.546875   Mean validation reward: 7.15625
Step: 196608    Mean reward: 7.078125   Mean validation reward: 7.625
Step: 212992    Mean reward: 8.203125   Mean validation reward: 7.703125
Step: 229376    Mean reward: 7.203125   Mean validation reward: 7.25
Step: 245760    Mean reward: 8.15625    Mean validation reward: 7.609375
Step: 262144    Mean reward: 8.765625   Mean validation reward: 7.1875
Step: 278528    Mean reward: 8.953125   Mean validation reward: 8.078125
Step: 294912    Mean reward: 9.234375   Mean validation reward: 7.875
Step: 311296    Mean reward: 8.9375     Mean validation reward: 6.75
Step: 327680    Mean reward: 9.3125     Mean validation reward: 8.234375
Step: 344064    Mean reward: 9.921875   Mean validation reward: 8.234375
Step: 360448    Mean reward: 7.375      Mean validation reward: 6.890625
Step: 376832    Mean reward: 8.359375   Mean validation reward: 6.78125
Step: 393216    Mean reward: 7.75       Mean validation reward: 7.0
Step: 409600    Mean reward: 9.328125   Mean validation reward: 7.484375
Step: 425984    Mean reward: 9.546875   Mean validation reward: 7.75
Step: 442368    Mean reward: 9.28125    Mean validation reward: 7.09375
Step: 458752    Mean reward: 9.5        Mean validation reward: 7.640625
Step: 475136    Mean reward: 8.53125    Mean validation reward: 8.5625
Step: 491520    Mean reward: 9.125      Mean validation reward: 8.71875
Step: 507904    Mean reward: 10.28125   Mean validation reward: 9.734375
Step: 524288    Mean reward: 10.6875    Mean validation reward: 10.453125
Step: 540672    Mean reward: 11.796875  Mean validation reward: 9.75
Step: 557056    Mean reward: 10.96875   Mean validation reward: 10.5625
Step: 573440    Mean reward: 10.75      Mean validation reward: 10.96875
Step: 589824    Mean reward: 11.359375  Mean validation reward: 10.484375
Step: 606208    Mean reward: 12.875     Mean validation reward: 10.890625
Step: 622592    Mean reward: 12.0625    Mean validation reward: 10.328125
Step: 638976    Mean reward: 12.5625    Mean validation reward: 10.265625
Step: 655360    Mean reward: 13.1875    Mean validation reward: 11.0625
Step: 671744    Mean reward: 13.578125  Mean validation reward: 11.328125
Step: 688128    Mean reward: 12.734375  Mean validation reward: 12.171875
Step: 704512    Mean reward: 13.078125  Mean validation reward: 12.578125
Step: 720896    Mean reward: 14.015625  Mean validation reward: 12.625
Step: 737280    Mean reward: 14.8125    Mean validation reward: 11.875
Step: 753664    Mean reward: 13.578125  Mean validation reward: 13.09375
Step: 770048    Mean reward: 13.578125  Mean validation reward: 13.21875
Step: 786432    Mean reward: 14.765625  Mean validation reward: 13.265625
Step: 802816    Mean reward: 15.953125  Mean validation reward: 13.25
Step: 819200    Mean reward: 15.984375  Mean validation reward: 13.921875
Step: 835584    Mean reward: 15.25      Mean validation reward: 14.09375
Step: 851968    Mean reward: 16.71875   Mean validation reward: 14.5
Step: 868352    Mean reward: 15.921875  Mean validation reward: 14.859375
Step: 884736    Mean reward: 16.78125   Mean validation reward: 15.140625
Step: 901120    Mean reward: 16.25      Mean validation reward: 15.21875
Step: 917504    Mean reward: 16.65625   Mean validation reward: 15.34375
Step: 933888    Mean reward: 16.75      Mean validation reward: 15.34375
Step: 950272    Mean reward: 16.078125  Mean validation reward: 14.90625
Step: 966656    Mean reward: 16.4375    Mean validation reward: 14.03125
Step: 983040    Mean reward: 16.21875   Mean validation reward: 16.203125
Step: 999424    Mean reward: 17.515625  Mean validation reward: 16.0625
