steps,train,test
16384,4.859375,4.71875
32768,5.78125,5.828125
49152,5.78125,6.46875
65536,6.53125,6.515625
81920,6.96875,6.953125
98304,7.046875,7.296875
114688,7.640625,7.578125
131072,7.8125,7.09375
147456,7.671875,6.90625
163840,6.953125,6.953125
180224,7.546875,7.15625
196608,7.078125,7.625
212992,8.203125,7.703125
229376,7.203125,7.25
245760,8.15625,7.609375
262144,8.765625,7.1875
278528,8.953125,8.078125
294912,9.234375,7.875
311296,8.9375,6.75
327680,9.3125,8.234375
344064,9.921875,8.234375
360448,7.375,6.890625
376832,8.359375,6.78125
393216,7.75,7.0
409600,9.328125,7.484375
425984,9.546875,7.75
442368,9.28125,7.09375
458752,9.5,7.640625
475136,8.53125,8.5625
491520,9.125,8.71875
507904,10.28125,9.734375
524288,10.6875,10.453125
540672,11.796875,9.75
557056,10.96875,10.5625
573440,10.75,10.96875
589824,11.359375,10.484375
606208,12.875,10.890625
622592,12.0625,10.328125
638976,12.5625,10.265625
655360,13.1875,11.0625
671744,13.578125,11.328125
688128,12.734375,12.171875
704512,13.078125,12.578125
720896,14.015625,12.625
737280,14.8125,11.875
753664,13.578125,13.09375
770048,13.578125,13.21875
786432,14.765625,13.265625
802816,15.953125,13.25
819200,15.984375,13.921875
835584,15.25,14.09375
851968,16.71875,14.5
868352,15.921875,14.859375
884736,16.78125,15.140625
901120,16.25,15.21875
917504,16.65625,15.34375
933888,16.75,15.34375
950272,16.078125,14.90625
966656,16.4375,14.03125
983040,16.21875,16.203125
999424,17.515625,16.0625
1015808,16.921875,16.40625
1032192,17.15625,17.875
1048576,17.734375,15.453125
1064960,17.03125,16.28125
1081344,18.921875,17.25
1097728,17.1875,17.46875
1114112,18.96875,17.9375
1130496,17.6875,17.390625
1146880,17.765625,17.953125
1163264,19.8125,17.84375
1179648,17.890625,17.859375
1196032,18.640625,18.921875
1212416,18.515625,18.546875
1228800,19.828125,19.484375
1245184,19.59375,18.171875
1261568,19.421875,18.265625
1277952,19.046875,21.015625
1294336,18.453125,18.28125
1310720,19.109375,18.9375
1327104,19.484375,19.515625
1343488,19.703125,19.3125
1359872,20.34375,18.390625
1376256,19.5625,19.453125
1392640,19.953125,19.265625
1409024,19.09375,20.40625
1425408,22.40625,19.265625
1441792,20.9375,20.34375
1458176,21.578125,19.734375
1474560,20.90625,18.90625
1490944,20.421875,19.796875
1507328,19.734375,20.515625
1523712,21.890625,19.953125
1540096,20.859375,20.421875
1556480,20.359375,22.109375
1572864,22.09375,20.6875
1589248,22.015625,20.734375
1605632,21.546875,20.8125
1622016,21.40625,20.359375
1638400,20.90625,21.203125
1654784,21.171875,21.109375
1671168,21.265625,19.75
1687552,21.5,20.59375
1703936,21.890625,20.4375
1720320,21.734375,21.5625
1736704,21.828125,21.328125
1753088,21.34375,20.75
1769472,21.734375,21.5
1785856,21.0625,20.921875
1802240,20.921875,20.328125
1818624,21.265625,21.546875
1835008,22.015625,20.8125
1851392,22.859375,21.984375
1867776,21.4375,21.25
1884160,20.3125,21.09375
1900544,21.5625,20.78125
1916928,20.921875,20.546875
1933312,21.71875,21.453125
