Step: 16384     Mean reward: 1.25       Mean validation reward: 2.5
Step: 32768     Mean reward: 3.28125    Mean validation reward: 3.4375
Step: 49152     Mean reward: 2.65625    Mean validation reward: 5.0
Step: 65536     Mean reward: 5.625      Mean validation reward: 7.96875
Step: 81920     Mean reward: 8.125      Mean validation reward: 8.75
Step: 98304     Mean reward: 9.0625     Mean validation reward: 13.125
Step: 114688    Mean reward: 12.1875    Mean validation reward: 13.59375
Step: 131072    Mean reward: 13.75      Mean validation reward: 18.125
Step: 147456    Mean reward: 14.53125   Mean validation reward: 19.6875
Step: 163840    Mean reward: 16.40625   Mean validation reward: 21.5625
Step: 180224    Mean reward: 20.15625   Mean validation reward: 23.59375
Step: 196608    Mean reward: 20.78125   Mean validation reward: 22.5
Step: 212992    Mean reward: 20.3125    Mean validation reward: 23.4375
Step: 229376    Mean reward: 22.96875   Mean validation reward: 27.96875
Step: 245760    Mean reward: 19.375     Mean validation reward: 27.03125
Step: 262144    Mean reward: 24.84375   Mean validation reward: 27.8125
Step: 278528    Mean reward: 26.5625    Mean validation reward: 29.0625
Step: 294912    Mean reward: 25.46875   Mean validation reward: 26.5625
Step: 311296    Mean reward: 26.71875   Mean validation reward: 27.03125
Step: 327680    Mean reward: 27.34375   Mean validation reward: 30.0
Step: 344064    Mean reward: 26.25      Mean validation reward: 27.03125
Step: 360448    Mean reward: 30.3125    Mean validation reward: 22.8125
Step: 376832    Mean reward: 25.9375    Mean validation reward: 26.5625
Step: 393216    Mean reward: 27.1875    Mean validation reward: 27.8125
Step: 409600    Mean reward: 22.5       Mean validation reward: 31.09375
Step: 425984    Mean reward: 26.5625    Mean validation reward: 26.875
Step: 442368    Mean reward: 22.96875   Mean validation reward: 23.59375
Step: 458752    Mean reward: 23.90625   Mean validation reward: 21.40625
Step: 475136    Mean reward: 22.8125    Mean validation reward: 25.0
Step: 491520    Mean reward: 24.21875   Mean validation reward: 22.03125
Step: 507904    Mean reward: 23.59375   Mean validation reward: 21.09375
Step: 524288    Mean reward: 21.71875   Mean validation reward: 20.3125
Step: 540672    Mean reward: 25.78125   Mean validation reward: 20.9375
Step: 557056    Mean reward: 21.71875   Mean validation reward: 15.46875
Step: 573440    Mean reward: 19.53125   Mean validation reward: 22.03125
Step: 589824    Mean reward: 22.34375   Mean validation reward: 18.75
Step: 606208    Mean reward: 21.71875   Mean validation reward: 18.75
Step: 622592    Mean reward: 21.71875   Mean validation reward: 19.84375
Step: 638976    Mean reward: 22.8125    Mean validation reward: 18.75
Step: 655360    Mean reward: 17.5       Mean validation reward: 20.9375
Step: 671744    Mean reward: 21.09375   Mean validation reward: 16.5625
Step: 688128    Mean reward: 23.4375    Mean validation reward: 15.3125
Step: 704512    Mean reward: 14.6875    Mean validation reward: 18.90625
Step: 720896    Mean reward: 19.6875    Mean validation reward: 25.0
Step: 737280    Mean reward: 23.28125   Mean validation reward: 23.4375
Step: 753664    Mean reward: 18.28125   Mean validation reward: 17.8125
Step: 770048    Mean reward: 20.3125    Mean validation reward: 23.28125
Step: 786432    Mean reward: 24.6875    Mean validation reward: 23.4375
Step: 802816    Mean reward: 23.90625   Mean validation reward: 19.375
Step: 819200    Mean reward: 20.78125   Mean validation reward: 18.59375
Step: 835584    Mean reward: 21.71875   Mean validation reward: 17.1875
Step: 851968    Mean reward: 23.28125   Mean validation reward: 20.3125
Step: 868352    Mean reward: 18.59375   Mean validation reward: 16.40625
Step: 884736    Mean reward: 15.78125   Mean validation reward: 16.5625
Step: 901120    Mean reward: 14.21875   Mean validation reward: 16.40625
Step: 917504    Mean reward: 18.125     Mean validation reward: 14.21875
Step: 933888    Mean reward: 15.9375    Mean validation reward: 15.3125
Step: 950272    Mean reward: 18.75      Mean validation reward: 18.75
Step: 966656    Mean reward: 17.03125   Mean validation reward: 18.4375
Step: 983040    Mean reward: 19.6875    Mean validation reward: 19.375
Step: 999424    Mean reward: 18.90625   Mean validation reward: 21.875
Step: 1015808   Mean reward: 20.9375    Mean validation reward: 15.3125
Step: 1032192   Mean reward: 17.34375   Mean validation reward: 18.75
Step: 1048576   Mean reward: 20.9375    Mean validation reward: 14.375
Step: 1064960   Mean reward: 20.9375    Mean validation reward: 21.09375
Step: 1081344   Mean reward: 21.40625   Mean validation reward: 19.375
Step: 1097728   Mean reward: 22.5       Mean validation reward: 19.0625
Step: 1114112   Mean reward: 22.5       Mean validation reward: 22.03125
Step: 1130496   Mean reward: 22.5       Mean validation reward: 21.875
Step: 1146880   Mean reward: 19.6875    Mean validation reward: 17.65625
Step: 1163264   Mean reward: 29.0625    Mean validation reward: 24.21875
Step: 1179648   Mean reward: 22.34375   Mean validation reward: 26.25
Step: 1196032   Mean reward: 23.4375    Mean validation reward: 21.09375
Step: 1212416   Mean reward: 19.375     Mean validation reward: 20.15625
Step: 1228800   Mean reward: 20.46875   Mean validation reward: 21.40625
Step: 1245184   Mean reward: 22.96875   Mean validation reward: 23.59375
